"","163_PRE","109_PRE","97_PRE","97_SURG","109_SURG","163_SURG"
"PTPRD",7.21136267923366,8.05769545280786,8.52684221535292,8.96010660325152,10.3849242246524,8.4134411049567
"COL5A2",14.8472708055156,15.7409091259758,15.3886448108358,15.9964924448686,16.8055379435458,15.5701281696721
"ISM1",6.47251456444444,7.80793711681071,7.49612839246158,8.17225547905066,9.30355131374347,7.84440806580611
"FSTL1",12.5917255842892,13.5492583431704,13.5342876096268,13.971223680052,14.8057579886755,13.5691385446336
"MAOA",8.91678836695813,9.79254414521196,9.13071839967045,9.6759808002885,10.9142152464601,10.4933280404197
"PKP1",4.92271041871699,5.6082624160881,4.67889919607624,5.92702418346328,7.14564959464971,6.01060946129847
"SIGLEC12",6.15985774001371,6.7477995179703,6.05162501862919,6.80307054088818,7.83128916227029,6.90424461858817
"DPP4",9.63878511813506,10.2181821287753,8.84575787400193,9.76755690215216,10.9833533233815,10.37878699421
"FAM167A",4.56804528149788,6.399359079663,4.16092451846181,4.90354182339443,7.8134417479042,5.91722628676452
"SLC24A3",6.46211517796786,7.90345374947024,6.44779538800831,6.99888021613647,9.07225389555386,7.56848737065858
"KIF1A",5.85074380916358,9.34843873892958,5.55733492118587,7.09786792080735,14.1220927886556,5.89332211436686
"LUZP2",2.40596414986013,3.27768346400967,2.48214761001082,3.08770913255645,6.09177576093173,3.12839620714191
"ITGBL1",8.4146616000532,9.09645286697039,7.97978465287163,8.7793988880434,11.4589780264216,8.96782829827484
"TYRP1",9.05951360464213,13.3558132183919,10.6512941446186,11.8186012280068,16.0673985391355,9.28106427761001
"COMP",9.10568188902479,13.3855301184479,9.21745039095179,11.006011919703,14.6193086833714,10.64188944248
"SPOCK1",7.05727308348259,9.99989854510116,7.48012068764588,8.68897105833213,10.6281007993308,7.88001081618713
