"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FRMD5",1668.54431821345,1.33258505504275,0.361614007464332,3.68510352900029,0.000228609694961053,0.0302917138900426
"FSTL1",16126.7227094216,-1.19028670441857,0.323348537986885,-3.68112598197939,0.000232206228088322,0.0305201379466409
"GPR183",1215.51033875234,-1.25426347271772,0.341452460416932,-3.6733180109061,0.00023942121279746,0.031216695409384
"AKR1C2",643.576057865195,-1.49889244507241,0.412332984965243,-3.63515047237552,0.000277818431271141,0.0359355935941036
"OGFRL1",2696.99597878569,-1.28104966698588,0.352808724162996,-3.6310033716571,0.000282321495819309,0.0362305176288432
"C16orf89",147.035397409852,-1.2853222427543,0.355117816751167,-3.61942482783095,0.000295258565786037,0.0373475378035585
"GRIK2",1895.09500187235,1.0898598391057,0.30113962398379,3.61911801804058,0.000295608809464907,0.0373475378035585
"CHRDL1",2082.74690794054,-1.65068800820757,0.458699024564766,-3.59862986361006,0.000319898100145827,0.0397992308105091
"PI16",369.055048481265,-1.65651883558688,0.460072200687802,-3.60056276625802,0.00031752916201604,0.0397992308105091
"ACTC1",46.5523129744949,-1.63002617777811,0.453627495350926,-3.59331432614577,0.000326498329821714,0.0403126498441992
"FCER2",348.871262947211,-1.62672803892478,0.454129493232497,-3.58207970009989,0.000340869757543528,0.0409828763951287
"FDCSP",841.10895374159,-1.65273704403959,0.461434835100415,-3.58173444724851,0.000341320642352324,0.0409828763951287
"KLF9",1048.63682184472,-1.40155475719326,0.391361659759073,-3.58122652601196,0.000341984979122438,0.0409828763951287
"SIGLEC12",130.966230318544,-1.20900119053643,0.337493023887218,-3.58229979574467,0.00034058261336437,0.0409828763951287
"FABP4",1122.79251978846,-1.64938348941175,0.462245334580873,-3.56819932191913,0.000359443027398965,0.0427606019018126
"LBP",180.273650886388,-1.62789103666099,0.45757706382538,-3.55763250686494,0.000374212344514162,0.0441950202238537
"CYP26B1",276.426046232818,-1.29879533460907,0.36653193532036,-3.54347113976271,0.000394896529794973,0.0454864678765261
"GPR171",706.823817103667,-1.38116358576997,0.390488991323954,-3.53701030363783,0.000404683877905037,0.0454864678765261
"ITGBL1",1186.89792113959,-1.4212292333228,0.40165700924285,-3.53841511692255,0.000402536680061421,0.0454864678765261
"LTB",441.371586359867,-1.48532616087803,0.418986915231059,-3.54504187811907,0.000392550712626733,0.0454864678765261
"PPP1R1B",78.4771660696192,-1.62350388392716,0.458429304089272,-3.54144874563038,0.00039793616252412,0.0454864678765261
"PTPRD",632.218518133487,-1.47310612454032,0.416001725211824,-3.54110580620845,0.0003984537587386,0.0454864678765261
"SMAP2",6549.12694905458,-1.26847112148362,0.358889065448256,-3.53443791857878,0.000408643418905527,0.0456169208309745
"SYBU",450.502019386337,-1.40284838408944,0.398032151261007,-3.52445997049502,0.000424346924805855,0.0470476610917403
"ALDH1L1",60.5423183714449,-1.47815628827973,0.420381656544576,-3.51622451947542,0.000437730650806192,0.0482036091002656
"CD24",170.655972606068,-1.62157325730468,0.461730723734735,-3.51194575961612,0.000444838776649326,0.0486575998780585
